Concessionária;Ano;Meta;Realizado;Dados;Instrumento de estabelecimento
EFC;2006;12.2;7.43;7.43;Resolução nº 381/2003
EFC;2007;12.2;4.39;4.39;Resolução nº 381/2003
EFC;2008;12.2;6.62;6.62;Resolução nº 2.973/2008
EFC;2009;12.2;5.5;5.5;Resolução nº 3.544/2010
EFC;2010;12.2;4.98;4.98;Resolução nº 3.544/2010
EFC;2011;12.2;4.2;4.2;Resolução nº 3.544/2010
EFC;2012;12.2;3.92;3.918026558587904;Resolução nº 3.835/2012
EFC;2013;7.07;3.48;3.4750357773549543;Resolução nº 4.144/2013
EFC;2014;6.93;4.13;4.128711362395818;Resolução nº 4.144/2013
EFC;2015;6.79;3.84;3.8357606209197783;Resolução nº 4.144/2013
EFC;2016;6.65;2.97;2.96514239943004;Resolução nº 4.144/2013
EFC;2017;6.52;2.67;2.67;Resolução nº 4.144/2013
EFC;2018;5.1;1.81;1.81;Deliberação nº 004/2019
EFVM;2006;22.1;5.78;5.78;Resolução nº 380/2003
EFVM;2007;21.3;4.07;4.07;Resolução nº 380/2003
EFVM;2008;12.2;2.84;2.84;Resolução nº 2.978/2008
EFVM;2009;12.2;3.82;3.82;Resolução nº 3.327/2009
EFVM;2010;12.2;3.56;3.56;Resolução nº 3.327/2009
EFVM;2011;12.2;2.82;2.82;Resolução nº 3.327/2009
EFVM;2012;12.2;2.72;2.724678659131138;Resolução nº 3.838/2012
EFVM;2013;5.14;2.67;2.669499697938694;Resolução nº 4.134/2013
EFVM;2014;5.03;2.73;2.727881954242508;Resolução nº 4.134/2013
EFVM;2015;4.93;2.23;2.234100188222941;Resolução nº 4.134/2013
EFVM;2016;4.84;2.66;2.663212130818271;Resolução nº 4.134/2013
EFVM;2017;4.74;2.16;2.16;Resolução nº 4.134/2013
EFVM;2018;4.57;2.38;2.38;Deliberação nº 624/2018
FCA;2006;49.0;20.54;20.54;Resolução nº 292/2003
FCA;2007;40.0;17.89;17.89;Resolução nº 292/2003
FCA;2008;28.0;18.06;18.06;Resolução nº 2.974/2008
FCA;2009;27.44;22.76;22.76;Resolução nº 3.325/2009
FCA;2010;26.89;23.86;23.86;Resolução nº 3.325/2009
FCA;2011;26.35;24.13;24.13;Resolução nº 3.325/2009
