Mes/Ano;Ferrovia;TU;TKU
01/2006;EFC;7989487;6640100190
01/2006;EFPO;146322;106105460
01/2006;EFVM;11049756;5989854973
01/2006;FCA;1392531;697446947
01/2006;FTC;190304;13337974
01/2006;FTL;151681;66509504
01/2006;MRS;7901499;3643052031
01/2006;RMN;170562;220583765
01/2006;RMO;215565;86280676
01/2006;RMP;357349;203073033
01/2006;RMS;1576437;1063105568
02/2006;EFC;6339323;5245464071
02/2006;EFPO;138305;91947346
02/2006;EFVM;9683084;5403998145
02/2006;FCA;1170254;615753368
02/2006;FTC;175265;12379525
02/2006;FTL;116728;47462791
02/2006;MRS;6748175;3190795739
02/2006;RMN;464558;617405152
02/2006;RMO;256591;120511809
02/2006;RMP;294054;152868763
02/2006;RMS;1899510;1206198777
03/2006;EFC;7459332;6155852629
03/2006;EFPO;94365;59190423
03/2006;EFVM;10646857;6022009341
03/2006;FCA;1231599;739931170
03/2006;FTC;233676;16492318
03/2006;FTL;133047;52593924
03/2006;MRS;7810227;3696301638
03/2006;RMN;651154;872994720
03/2006;RMO;290036;157945732
03/2006;RMP;243650;116913814
03/2006;RMS;2420845;1501725805
04/2006;EFC;7390272;6090195366
04/2006;EFPO;91799;60025926
04/2006;EFVM;10476638;5916805478
04/2006;FCA;1169387;772612289
04/2006;FTC;194699;13652716
04/2006;FTL;104971;43480223
04/2006;MRS;8005437;3791648515
04/2006;RMN;650187;870587116
04/2006;RMO;301706;133180651
04/2006;RMP;276767;131161365
04/2006;RMS;2203464;1441966935
05/2006;EFC;7635490;6315077102
05/2006;EFPO;113403;72695349
05/2006;EFVM;11465123;6430041588
05/2006;FCA;1288612;863113976
05/2006;FTC;258274;18118869
05/2006;FTL;113569;50879282
05/2006;MRS;8365835;3957890795
05/2006;RMN;353671;474594252
05/2006;RMO;321481;148651317
05/2006;RMP;465965;228835431
05/2006;RMS;2081390;1345949692
06/2006;EFC;7538755;6295974409
06/2006;EFPO;88270;58413426
06/2006;EFVM;11253890;6345588854
06/2006;FCA;1233433;764720033
06/2006;FTC;253665;18168811
06/2006;FTL;131354;53595375
06/2006;MRS;8501272;3976944553
06/2006;RMN;625759;838420375
06/2006;RMO;277201;124965089
06/2006;RMP;353243;190114479
06/2006;RMS;2677291;1700338614
07/2006;EFC;8081110;6714072413
07/2006;EFPO;115898;74193170
07/2006;EFVM;11878578;6637190774
07/2006;FCA;1446553;853891686
07/2006;FTC;255088;18349266
07/2006;FTL;132732;44849963
07/2006;MRS;9109687;4227747019
07/2006;RMN;542444;738407704
07/2006;RMO;283736;119867064
07/2006;RMP;358360;197920164
07/2006;RMS;2752440;1805493930
08/2006;EFC;8316765;6897421013
08/2006;EFPO;187552;125702883
08/2006;EFVM;11568474;6548651294
08/2006;FCA;1288176;793697077
08/2006;FTC;222946;15495025
08/2006;FTL;124541;62249154
08/2006;MRS;9461856;4406269314
08/2006;RMN;607358;817935781
08/2006;RMO;313178;121330735
08/2006;RMP;344518;180559458
08/2006;RMS;3157589;1938774169
09/2006;EFC;7968422;6619871904
09/2006;EFPO;158673;104950251
09/2006;EFVM;11235723;6299322381
09/2006;FCA;1236431;822288487
09/2006;FTC;192133;12921078
09/2006;FTL;123481;56223099
09/2006;MRS;9065766;4203142514
09/2006;RMN;582744;783150907
09/2006;RMO;272811;123827098
09/2006;RMP;340082;186507545
09/2006;RMS;3149442;1923994311
10/2006;EFC;8020823;6654481578
10/2006;EFPO;144126;97011225
10/2006;EFVM;11634708;6498092808
10/2006;FCA;1346591;810675874
10/2006;FTC;204961;13741495
10/2006;FTL;135068;65785989
10/2006;MRS;9349435;4356416459
10/2006;RMN;509141;677121683
10/2006;RMO;273143;109064951
10/2006;RMP;333998;184976459
10/2006;RMS;2945798;1862295671
11/2006;EFC;7981794;6596171147
11/2006;EFPO;128502;81580482
11/2006;EFVM;10251166;5672753463
11/2006;FCA;1237826;746248345
11/2006;FTC;219775;14803512
11/2006;FTL;131687;69776420
11/2006;MRS;8927486;4171094948
11/2006;RMN;265913;355744634
11/2006;RMO;288156;106068621
11/2006;RMP;375085;207659465
11/2006;RMS;2070163;1332339949
12/2006;EFC;7869802;6499752702
12/2006;EFPO;104082;73683774
12/2006;EFVM;10476396;5678077965
12/2006;FCA;1135134;652007436
12/2006;FTC;225919;15402295
12/2006;FTL;120188;64414929
12/2006;MRS;8751780;4051818900
12/2006;RMN;127969;179203788
12/2006;RMO;261189;80711049
12/2006;RMP;478029;251896956
12/2006;RMS;2007342;1300617139
01/2007;EFC;8508565;7029979094
01/2007;EFPO;46671;33942226
01/2007;EFVM;10267551;5634070826
01/2007;FCA;959227;586852505
01/2007;FTC;229954;16347020
01/2007;FTL;127164;74014302
01/2007;MRS;8358061;3801405646
01/2007;RMN;247208;332277390
01/2007;RMO;244743;78178175
01/2007;RMP;345796;189685125
01/2007;RMS;1639058;1048356404
02/2007;EFC;7536804;6298694058
02/2007;EFPO;82821;58462088
02/2007;EFVM;9632668;5328089854
02/2007;FCA;1253635;820367446
02/2007;FTC;197429;14228656
02/2007;FTL;112546;63616049
02/2007;MRS;7931966;3656333916
02/2007;RMN;417815;568816441
02/2007;RMO;245359;71904443
02/2007;RMP;161325;99968929
02/2007;RMS;1758369;1196020948
03/2007;EFC;7698149;6360130479
03/2007;EFPO;46043;26192824
03/2007;EFVM;11124229;6150583745
03/2007;FCA;1545496;1125585134
03/2007;FTC;227487;16674954
03/2007;FTL;157634;73792019
03/2007;MRS;9124359;4186760986
03/2007;RMN;596750;809042812
03/2007;RMO;200987;82182096
03/2007;RMP;142971;62934882
03/2007;RMS;2419675;1518275911
04/2007;EFC;7994557;6569989795
04/2007;EFPO;68661;51422266
04/2007;EFVM;11192414;6243334712
04/2007;FCA;1578011;1233313982
04/2007;FTC;205104;15258002
04/2007;FTL;154070;82234096
04/2007;MRS;8993322;4162211139
04/2007;RMN;657890;893106979
04/2007;RMO;211019;83123275
04/2007;RMP;173004;73653419
04/2007;RMS;2171822;1392960247
05/2007;EFC;8237141;6771020885
05/2007;EFPO;84704;61782865
05/2007;EFVM;11486203;6443610053
05/2007;FCA;1859907;1444298781
05/2007;FTC;213028;15438763
05/2007;FTL;175668;74247448
05/2007;MRS;9586309;4414574952
05/2007;RMN;563464;756102349
05/2007;RMO;241122;92701778
05/2007;RMP;262084;134690456
05/2007;RMS;2179698;1382675820
06/2007;EFC;8179721;6812795545
06/2007;EFPO;59184;43184509
06/2007;EFVM;11670586;6542345244
06/2007;FCA;1798349;1415291351
06/2007;FTC;186807;13531918
06/2007;FTL;143464;79265389
06/2007;MRS;9336761;4297953816
06/2007;RMN;675810;920321330
06/2007;RMO;270389;93324045
06/2007;RMP;288627;162840504
06/2007;RMS;2369154;1553188496
07/2007;EFC;8495335;7064730268
07/2007;EFPO;76197;57440732
07/2007;EFVM;11795457;6564981441
07/2007;FCA;1758036;1307828245
07/2007;FTC;213715;15423041
07/2007;FTL;143962;73960162
07/2007;MRS;10201063;4729543983
07/2007;RMN;720191;977418294
07/2007;RMO;235268;101389265
07/2007;RMP;273612;158876129
07/2007;RMS;2488694;1607326042
08/2007;EFC;9216529;7673899841
08/2007;EFPO;77738;59848530
08/2007;EFVM;12047954;6666924455
08/2007;FCA;1702520;1328431651
08/2007;FTC;199570;14533835
08/2007;FTL;168042;83041372
08/2007;MRS;10606789;4909502880
08/2007;RMN;727864;984816476
08/2007;RMO;228918;98120746
08/2007;RMP;300102;161158695
08/2007;RMS;2561273;1639346737
09/2007;EFC;8975047;7497763704
09/2007;EFPO;61689;47727021
09/2007;EFVM;11572704;6347386078
09/2007;FCA;1672449;1265029212
09/2007;FTC;215495;15252750
09/2007;FTL;147547;74389151
09/2007;MRS;9572199;4410401561
09/2007;RMN;750140;1016078097
09/2007;RMO;236052;92285489
09/2007;RMP;314499;173652379
09/2007;RMS;2577888;1697040751
10/2007;EFC;8161222;6771201999
10/2007;EFPO;71062;51462936
10/2007;EFVM;11855929;6519967207
10/2007;FCA;1869892;1461065959
10/2007;FTC;249912;17505355
10/2007;FTL;167742;104878560
10/2007;MRS;10478139;4829968676
10/2007;RMN;763037;1037861790
10/2007;RMO;243437;134278847
10/2007;RMP;390360;226788981
10/2007;RMS;2510567;1638181096
11/2007;EFC;7908357;6594374370
11/2007;EFPO;116093;74965433
11/2007;EFVM;11328483;6190963339
11/2007;FCA;1550508;1216025488
11/2007;FTC;247341;17631735
11/2007;FTL;151942;90483668
11/2007;MRS;9914877;4608846631
11/2007;RMN;470334;638030366
11/2007;RMO;184155;152514869
11/2007;RMP;448405;259868700
11/2007;RMS;2110181;1359600050
12/2007;EFC;9449544;7922437800
12/2007;EFPO;71539;53176991
12/2007;EFVM;12630293;6878912371
12/2007;FCA;1409080;1020479637
12/2007;FTC;248990;17610828
12/2007;FTL;164257;88729447
12/2007;MRS;9960165;4602215787
12/2007;RMN;337814;459650285
12/2007;RMO;148411;122818254
12/2007;RMP;372460;205050280
12/2007;RMS;1749388;1114505652
01/2008;EFC;9062760;7629483561
01/2008;EFPO;53933;43831618
01/2008;EFVM;11997280;6507748305
01/2008;FCA;1371961;896853304
01/2008;FNSTN;2501;1538115
01/2008;FTC;230356;16119475
01/2008;FTL;144890;73302744
01/2008;MRS;9137066;4232739679
01/2008;RMN;175383;232437300
01/2008;RMO;131656;97346814
01/2008;RMP;398043;206450039
01/2008;RMS;1855114;1182260772
02/2008;EFC;8773923;7362951304
02/2008;EFPO;80088;58115930
02/2008;EFVM;11010160;6036162148
02/2008;FCA;1389353;1030562487
02/2008;FNSTN;1000;615000
02/2008;FTC;215530;15114185
02/2008;FTL;119279;66952963
02/2008;MRS;8574825;3922827020
02/2008;RMN;532934;722915589
02/2008;RMO;237930;101892500
02/2008;RMP;249437;113834194
02/2008;RMS;1843988;1238626326
03/2008;EFC;7613145;6338955210
03/2008;EFPO;64348;42637400
03/2008;EFVM;11715107;6424643465
03/2008;FCA;1661336;1341048061
03/2008;FNSTN;105754;76283238
03/2008;FTC;240694;17057952
03/2008;FTL;144165;87699377
03/2008;MRS;10125141;4707412384
03/2008;RMN;861170;1190972026
03/2008;RMO;245131;100155951
03/2008;RMP;252678;167416419
03/2008;RMS;2411142;1612993474
04/2008;EFC;7110533;5950382410
04/2008;EFPO;73185;57283807
04/2008;EFVM;11429126;6260637892
04/2008;FCA;1602498;1308836452
04/2008;FNSTN;83209;60042171
04/2008;FTC;246260;17349497
04/2008;FTL;123562;62653797
04/2008;MRS;9977034;4625075715
04/2008;RMN;875541;1203835468
04/2008;RMO;272601;107676507
04/2008;RMP;266102;186610801
04/2008;RMS;2349071;1497334070
05/2008;EFC;8852596;7466767933
05/2008;EFPO;122252;84007572
05/2008;EFVM;12453383;6779253436
05/2008;FCA;1820491;1524409301
05/2008;FNSTN;221842;160391766
05/2008;FTC;253881;17686422
05/2008;FTL;134884;67140935
05/2008;MRS;10689081;5003850144
05/2008;RMN;814870;1125053730
05/2008;RMO;290530;109847169
05/2008;RMP;389325;240799334
05/2008;RMS;2338842;1453821988
06/2008;EFC;8977519;7545270966
06/2008;EFPO;78554;53019025
06/2008;EFVM;12085868;6600440564
06/2008;FCA;1662611;1368411870
06/2008;FNSTN;213966;154619982
06/2008;FTC;238084;16778576
06/2008;FTL;130173;69043636
